Name of the Political Party,Date of  Encashment,Sum,Upcoming Election,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Phase
GOA FORWARD PARTY,2022-01-12,3500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-01-12,508700000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
ADYAKSHA SAMAJVADI PARTY,2022-01-13,30000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
ALL INDIA TRINAMOOL CONGRESS,2022-01-13,600000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
BIJU JANATA DAL,2022-01-13,30000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",2022-01-13,275000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
AAM AADMI PARTY,2022-01-14,5000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
ALL INDIA TRINAMOOL CONGRESS,2022-01-14,510000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
BHARTIYA JANTA PARTY,2022-01-14,1755000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
SHIROMANI AKALI DAL,2022-01-14,5000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,
ALL INDIA TRINAMOOL CONGRESS,2022-01-15,60000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
NATIONALIST CONGRESS PARTY PARLIAMENT OF,2022-01-15,2000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
ALL INDIA TRINAMOOL CONGRESS,2022-01-17,56000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
BHARTIYA JANTA PARTY,2022-01-17,1075000000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
AAM AADMI PARTY,2022-01-18,4500000,"Uttarakhand, Punjab, Uttar Pradesh, Goa, Manipur",,,,,19.0
