Name of the Political Party,"Date of
Encashment",Sum - Denomination
BIJU JANATA DAL,11/Jan/2022,170000000
BIJU JANATA DAL,13/Jan/2022,30000000
BIJU JANATA DAL,20/Jan/2022,100000000
BIJU JANATA DAL,11/Apr/2022,30000000
BIJU JANATA DAL,04/Jul/2022,500000000
BIJU JANATA DAL,06/Jul/2022,450000000
BIJU JANATA DAL,11/Jul/2022,70000000
BIJU JANATA DAL,13/Jul/2022,50000000
BIJU JANATA DAL,11/Oct/2022,350000000
BIJU JANATA DAL,01/Feb/2023,70000000
BIJU JANATA DAL,15/Apr/2023,150000000
BIJU JANATA DAL,07/Jul/2023,500000000
BIJU JANATA DAL,11/Jul/2023,75000000
BIJU JANATA DAL,13/Jul/2023,840000000
BIJU JANATA DAL,15/Jul/2023,140000000
BIJU JANATA DAL,18/Oct/2023,400000000
BIJU JANATA DAL,19/Oct/2023,50000000
BIJU JANATA DAL,20/Nov/2023,50000000
BIJU JANATA DAL,24/Nov/2023,250000000
DMK PARTY IN PARLIAMENT,15/Apr/2019,70000000
DMK PARTY IN PARLIAMENT,23/Apr/2019,20000000
DMK PARTY IN PARLIAMENT,23/Oct/2020,600000000
DMK PARTY IN PARLIAMENT,29/Oct/2020,200000000
DMK PARTY IN PARLIAMENT,07/Apr/2021,1030000000
DMK PARTY IN PARLIAMENT,12/Apr/2021,30000000
DMK PARTY IN PARLIAMENT,11/Oct/2021,990000000
DMK PARTY IN PARLIAMENT,11/Jan/2022,1000000000
DMK PARTY IN PARLIAMENT,11/Apr/2022,1000000000
DMK PARTY IN PARLIAMENT,08/Jul/2022,500000000
DMK PARTY IN PARLIAMENT,11/Jul/2022,250000000
DMK PARTY IN PARLIAMENT,12/Oct/2022,100000000
DMK PARTY IN PARLIAMENT,10/Apr/2023,400000000
DMK PARTY IN PARLIAMENT,23/Jan/2024,200000000
GOA FORWARD PARTY,12/Jan/2022,3500000
JAMMU AND KASHMIR NATIONAL CONFERENCE,29/Apr/2019,5000000
JANASENA PARTY,20/Oct/2022,20000000
JANASENA PARTY,15/Apr/2023,20000000
JANASENA PARTY,17/Jan/2024,150000000
JANASENA PARTY,20/Jan/2024,10000000
JANASENA PARTY,24/Jan/2024,10000000
JANATA DAL ( SECULAR ),15/Apr/2019,25000000
JANATA DAL ( SECULAR ),17/Apr/2023,10000000
JANATA DAL ( SECULAR ),18/Apr/2023,400000000
JHARKHAND MUKTI MORCHA,23/Apr/2019,10000000
JHARKHAND MUKTI MORCHA,01/Feb/2023,10000000
JHARKHAND MUKTI MORCHA,13/Apr/2023,10000000
JHARKHAND MUKTI MORCHA,24/Jul/2023,50000000
JHARKHAND MUKTI MORCHA,17/Oct/2023,55000000
MAHARASHTRAWADI GOMNTAK PARTY,18/Jan/2022,5500000
NATIONALIST CONGRESS PARTY MAHARASHTRA PRADESH,10/Oct/2019,5000000
NATIONALIST CONGRESS PARTY PARLIAMENT OF,15/Apr/2019,15000000
NATIONALIST CONGRESS PARTY PARLIAMENT OF,18/Apr/2019,10000000
NATIONALIST CONGRESS PARTY PARLIAMENT OF,09/May/2019,10000000
NATIONALIST CONGRESS PARTY PARLIAMENT OF,05/Oct/2019,20000000
NATIONALIST CONGRESS PARTY PARLIAMENT OF,10/Oct/2019,70000000
NATIONALIST CONGRESS PARTY PARLIAMENT OF,11/Oct/2019,25000000
NATIONALIST CONGRESS PARTY PARLIAMENT OF,09/Apr/2021,38000000
NATIONALIST CONGRESS PARTY PARLIAMENT OF,11/Jan/2022,100000000
NATIONALIST CONGRESS PARTY PARLIAMENT OF,15/Jan/2022,2000000
NATIONALIST CONGRESS PARTY PARLIAMENT OF,13/Apr/2023,15000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",12/Apr/2019,101000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",15/Apr/2019,354500000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",16/Apr/2019,179200000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",18/Apr/2019,128700000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20/Apr/2019,142210000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",22/Apr/2019,110000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",23/Apr/2019,75000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",24/Apr/2019,2000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",25/Apr/2019,20000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",26/Apr/2019,73000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",08/May/2019,20000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",09/May/2019,150000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10/May/2019,50000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",13/May/2019,125000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",15/May/2019,50000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",16/May/2019,100000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20/May/2019,5000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",15/Oct/2019,2500000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",19/Oct/2019,10000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",22/Oct/2019,5000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",28/Jan/2020,60000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",29/Oct/2020,30000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",18/Jan/2021,70750000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",08/Apr/2021,50000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",09/Apr/2021,250000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",12/Apr/2021,80000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",13/Apr/2021,177500000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",16/Apr/2021,30000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",12/Jul/2021,247000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",05/Oct/2021,120000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",07/Oct/2021,124300000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",11/Oct/2021,21150000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",12/Oct/2021,63545000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20/Oct/2021,5000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",06/Jan/2022,179800000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10/Jan/2022,200000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",12/Jan/2022,508700000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",13/Jan/2022,275000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",18/Jan/2022,27000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20/Jan/2022,2000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",13/Apr/2022,80000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",06/Jul/2022,150000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",11/Jul/2022,350000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",12/Jul/2022,5000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",19/Jul/2022,70000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10/Oct/2022,150000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",12/Oct/2022,52000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",14/Oct/2022,130000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",18/Oct/2022,40000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",14/Nov/2022,4000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",16/Nov/2022,170000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",17/Nov/2022,100000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",18/Nov/2022,103100000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",22/Nov/2022,50000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",23/Nov/2022,22000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",24/Nov/2022,15000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",28/Nov/2022,30000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",13/Dec/2022,80000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20/Dec/2022,100000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",27/Jan/2023,9100000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",06/Apr/2023,60000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10/Apr/2023,722500000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",11/Apr/2023,130000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",13/Apr/2023,100000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",17/Apr/2023,770000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",20/Apr/2023,123000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10/Jul/2023,5000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",13/Jul/2023,100000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",14/Jul/2023,100000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",05/Oct/2023,150000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",06/Oct/2023,560000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",07/Oct/2023,100000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",09/Oct/2023,600000000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10/Oct/2023,1279300000
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",12/Oct/2023,250000000
